transaction_id,customer_id,branch_name,transaction_type,waiting_time,processing_time,transaction_time,date,sentiment,sentiment_score,review_text,bhs
BPI0823N001,N001,BPI Bangkal Branch,deposit,2,2,4,2025-08-23,positive,4.18,"Clean facility, organized setup",
BPI0823N001,N001,BPI Malate Branch,deposit,2,3,5,2025-08-23,positive,4.03,"Fast tellers, clean bathrooms lol",
BPI0823B001,B001,BPI Blue Ridge Boni Serrano Branch,transfer,6,5,11,2025-08-23,neutral,2.0,"Okay service, could be better. Room for improvement.",
BPI0823N001,N001,BPI Congressional Avenue Extension Branch,transfer,8,4,12,2025-08-23,positive,4.49,Amazing digital banking features! Mobile app works flawlessly.,
BPI0823N001,N001,BPI BF Resort Las Pinas Branch,withdrawal,4,3,7,2025-08-23,positive,3.24,Staff remembered my name and preferences. Personal touch appreciated.,
BPI0823N001,N001,BPI QA Fisher Mall Branch,deposit,2,2,4,2025-08-23,positive,4.67,Personalized financial advice helped me plan better.,
BPI0823N001,N001,BPI Buendia Center Branch,withdrawal,5,4,9,2025-08-23,positive,3.84,Trust and estate planning services are comprehensive.,
BPI0823B001,B001,BPI San Antonio Kamagong Branch,deposit,1,1,2,2025-08-23,neutral,2.69,Branch hours are typical for banks in this region.,
BPI0823N001,N001,BPI Buendia Malugay Branch,account service,18,16,34,2025-08-23,positive,3.09,"Efficient tellers, minimal wait time. Very pleased.",
BPI0823N001,N001,BPI Comembo Branch,encashment,7,9,16,2025-08-23,positive,4.14,24/7 customer service actually works! Got help at midnight.,
BPI0823B001,B001,BPI J.P. Rizal Branch,transfer,2,2,4,2025-08-23,positive,4.68,Staff explained everything clearly. Great customer service!,
BPI0823B001,B001,BPI Salcedo Tordesillas Branch,transfer,6,4,10,2025-08-23,positive,3.08,Smooth transaction as always,
BPI0823N001,N001,BPI Alabang South Branch,deposit,7,5,12,2025-08-23,neutral,2.8,Fees are transparent but wish they were lower overall.,
BPI0823N001,N001,BPI Malabon Panghulo Branch,account service,12,12,24,2025-08-23,neutral,2.34,Branch hours are typical for banks in this region.,
BPI0823N001,N001,BPI Cash And Carry Mall Branch,transfer,7,5,12,2025-08-23,positive,3.9,Customer loyalty program rewards are actually worthwhile.,
BPI0823N001,N001,BPI Roosevelt Branch,customer service,15,25,40,2025-08-23,negative,1.75,ATM ate my card. Great.,
BPI0823N001,N001,BPI Ali Mall Cubao Branch,deposit,6,3,9,2025-08-23,positive,4.28,"Friendly atmosphere, helpful staff. Five stars!",
BPI0823N001,N001,BPI Pasay D. Macapagal Ave. Branch,transfer,7,5,12,2025-08-23,positive,3.21,Staff was patient in explaining loan details. Great service!,
BPI0823N001,N001,"BPI Pasig E. Rodriguez, Jr. Branch",deposit,3,2,5,2025-08-23,neutral,2.15,"No complaints, no compliments",
BPI0823N001,N001,BPI Rockwell The Grove,withdrawal,1,1,2,2025-08-23,positive,4.93,Foreign exchange rates are better than competitors.,
BPI0823N001,N001,BPI Vito Cruz Chino Roces Branch,transfer,6,4,10,2025-08-23,neutral,2.6,Meh. It's fine for basic stuff,
BPI0823N001,N001,BPI Meralco Branch,deposit,3,2,5,2025-08-23,positive,4.48,Educational workshops on financial literacy were excellent.,
BPI0823N001,N001,BPI J.P. Rizal Binakod Branch,transfer,4,3,7,2025-08-23,neutral,2.97,Systems work reliably most of the time with occasional issues.,
BPI0823N001,N001,BPI Fairview Branch ,deposit,2,2,4,2025-08-23,positive,4.1,Best bank in the area. Never had any issues with their service.,
BPI0823B001,B001,BPI ADB Branch,withdrawal,1,1,2,2025-08-23,positive,3.12,Smooth transaction from start to finish. Well done!,
BPI0823N001,N001,BPI Taytay Highway Branch,deposit,1,1,2,2025-08-23,positive,3.38,Amazing customer service today,
BPI0823N001,N001,BPI Quezon Avenue Espana Branch,transfer,3,2,5,2025-08-23,positive,4.44,Professional and courteous staff,
BPI0823N002,N002,BPI Buendia Center Branch,transfer,5,5,10,2025-08-23,positive,3.41,Drive-thru service is super convenient. Never have to get out.,
BPI0823N001,N001,BPI Del Monte Branch,deposit,9,7,16,2025-08-23,positive,3.87,Excellent service! Staff was very helpful and quick processing.,
BPI0823N001,N001,BPI Julia Vargas Branch,deposit,1,2,3,2025-08-23,positive,3.06,"Parking was easy, service quick",
BPI0823N001,N001,BPI Trinoma Branch,transfer,2,1,3,2025-08-23,positive,4.19,Security measures are top-notch. Feel safe banking here.,
BPI0823N001,N001,BPI Vito Cruz Harrison Branch,customer service,4,8,12,2025-08-23,positive,3.72,Mobile check deposit feature saves so much time.,
BPI0823N001,N001,BPI Forbes Park Branch,account service,7,11,18,2025-08-23,positive,3.08,Quick service despite busy day. Thank you for good service.,
BPI0823N001,N001,BPI Shaw Boulevard Branch,account service,4,7,11,2025-08-23,positive,3.71,Fast and accurate processing. Keep up the good work!,
BPI0823B001,B001,BPI East Avenue Branch,transfer,6,5,11,2025-08-23,positive,3.28,Premium banking services justify the additional fees.,
BPI0823N001,N001,BPI Pasig Buting Branch,withdrawal,1,2,3,2025-08-23,positive,4.73,Modern branch with excellent customer service standards.,
BPI0823N002,N002,BPI Quezon Avenue Espana Branch,encashment,9,8,17,2025-08-23,neutral,2.77,"Average wait time, decent staff",
BPI0823N001,N001,BPI Fairview Terraces Branch,encashment,6,5,11,2025-08-23,positive,4.57,Friendly faces everywhere,
BPI0823N002,N002,BPI Vito Cruz Harrison Branch,deposit,2,3,5,2025-08-23,positive,3.45,Staff remembered my name and preferences. Personal touch appreciated.,
BPI0823N001,N001,BPI East Avenue Branch,withdrawal,5,5,10,2025-08-23,positive,3.17,Best bank staff ever! Always smiling,
BPI0823N001,N001,BPI Tandang Sora Branch,deposit,5,5,10,2025-08-23,neutral,2.78,Technology updates happen but seem to lag behind competitors.,
BPI0823N001,N001,BPI Marikina Branch,deposit,5,7,12,2025-08-23,positive,3.88,Quick and professional service. Highly recommended branch.,
BPI0823B001,B001,BPI C3 A. Mabini Branch,withdrawal,5,5,10,2025-08-23,neutral,2.96,"Average wait time, decent staff",
BPI0823N001,N001,BPI E. Rodriguez Bagumbayan Branch,withdrawal,1,1,2,2025-08-23,positive,4.16,Business banking solutions perfectly fit our company needs.,
BPI0823N001,N001,BPI St. Ignatius Katipunan Branch,withdrawal,1,1,2,2025-08-23,positive,4.23,Foreign exchange rates are better than competitors.,
BPI0823B001,B001,BPI Paco Branch,deposit,4,4,8,2025-08-23,positive,4.95,Wonderful experience! Staff made banking easy and convenient.,
BPI0823N001,N001,BPI Roces,deposit,3,2,5,2025-08-23,positive,5.0,Mobile check deposit feature saves so much time.,
BPI0823N001,N001,BPI Aurora Boulevard Branch,customer service,4,6,10,2025-08-23,positive,4.16,Smooth transaction from start to finish. Well done!,
BPI0823N001,N001,BPI West Avenue Del Monte Branch,deposit,2,3,5,2025-08-23,positive,4.13,Personalized financial advice helped me plan better.,
BPI0823N001,N001,BPI Ayala Malls Vertis North Branch,deposit,2,2,4,2025-08-23,positive,4.1,Staff explained everything clearly. Great customer service!,
BPI0823N001,N001,BPI Novaliches San Bartolome Branch ATM,encashment,7,6,13,2025-08-23,positive,4.45,Teller was courteous and processed my request quickly.,
BPI0823B001,B001,BPI Ayala Malls Vertis North Branch,account service,6,9,15,2025-08-23,positive,3.57,Educational workshops on financial literacy were excellent.,
BPI0823N001,N001,BPI Mandaluyong Pioneer Heights,encashment,2,2,4,2025-08-23,positive,3.34,Friendly faces everywhere,
BPI0823B001,B001,BPI Congressional Avenue Extension Branch,withdrawal,5,5,10,2025-08-23,positive,3.92,Tax preparation service saved me time and money.,
BPI0823N001,N001,BPI QC West Triangle Branch,withdrawal,3,3,6,2025-08-23,positive,4.96,Quick service despite busy day. Thank you for good service.,
BPI0823N001,N001,BPI Rockwell Ortigas Branch,transfer,8,6,14,2025-08-23,neutral,2.63,Response times to inquiries are reasonable for industry.,
BPI0823N002,N002,BPI Julia Vargas Branch,encashment,2,3,5,2025-08-23,positive,4.59,Quick business account setup. Got everything done in one visit.,
BPI0823N001,N001,BPI Xavierville Branch,withdrawal,2,2,4,2025-08-23,positive,3.29,Staff remembered my name. Sweet!,
BPI0823N002,N002,BPI BF Resort Las Pinas Branch,loan,18,20,38,2025-08-23,negative,1.7,Account closure process was deliberately made difficult.,
BPI0823N001,N001,BPI Quezon Avenue-EDSA Branch,deposit,8,6,14,2025-08-23,positive,4.24,Fraud protection caught suspicious activity immediately.,
BPI0823N001,N001,BPI Cubao Manhattan Parkview Branch,withdrawal,5,4,9,2025-08-23,neutral,2.85,Account features are sufficient for personal banking needs.,
BPI0823N002,N002,BPI Del Monte Branch,withdrawal,2,2,4,2025-08-23,positive,4.88,Mobile check deposit feature saves so much time.,
BPI0823N002,N002,BPI Bangkal Branch,deposit,2,3,5,2025-08-23,positive,4.63,Auto loan rates were the best I found anywhere.,
BPI0823N001,N001,BPI Rockwell Branch,encashment,3,3,6,2025-08-23,positive,5.0,Great branch! Modern facilities and efficient service.,
BPI0823N001,N001,BPI Fort Mckinley Hill Branch,withdrawal,1,1,2,2025-08-23,positive,3.44,Wonderful experience! Staff made banking easy and convenient.,
BPI0823N001,N001,BPI Masangkay Branch,withdrawal,5,4,9,2025-08-23,positive,3.22,Financial planning session was informative and helpful.,
BPI0823N002,N002,BPI Fairview Terraces Branch,deposit,2,1,3,2025-08-23,positive,3.65,Very fast processing. Impressed with the service quality.,
BPI0823N001,N001,BPI Glorietta Mall Ground Level Branch,withdrawal,1,1,2,2025-08-23,positive,4.8,Smooth transaction from start to finish. Well done!,
BPI0823N001,N001,BPI Binondo Plaza Lorenzo Ruiz Branch,encashment,11,8,19,2025-08-23,positive,3.69,24/7 customer service actually works! Got help at midnight.,
BPI0823N001,N001,BPI Gateway,deposit,3,2,5,2025-08-23,neutral,2.62,"Services delivered as promised, nothing more or less.",
BPI0823B001,B001,BPI Rockwell The Grove,account service,9,11,20,2025-08-23,positive,3.82,Love this branch! Super fast service 👍,
BPI0823N001,N001,BPI Baclaran Branch,deposit,4,4,8,2025-08-23,positive,3.59,Smooth transaction as always,
BPI0823N002,N002,BPI Novaliches San Bartolome Branch ATM,customer service,3,6,9,2025-08-23,positive,3.65,Debt consolidation loan helped me get back on track.,
BPI0823B001,B001,BPI Divisoria Carmen Planas Branch,loan,18,25,43,2025-08-23,negative,1.76,Safe deposit box rental doubled without explanation.,
BPI0823N001,N001,BPI Navotas M. Naval Branch,deposit,2,2,4,2025-08-23,positive,3.25,Credit score monitoring service is a great value-add.,
BPI0823N001,N001,BPI Kamias EDSA Branch,account service,15,13,28,2025-08-23,positive,3.28,Senior citizen benefits are generous and well-designed.,
BPI0823N001,N001,BPI San Lazaro Vertex One Branch,deposit,1,2,3,2025-08-23,positive,4.19,Personalized financial advice helped me plan better.,
BPI0823N002,N002,BPI Buendia Malugay Branch,encashment,3,3,6,2025-08-23,positive,3.19,Fraud protection caught suspicious activity immediately.,
BPI0823B001,B001,BPI Retiro Mayon Branch,encashment,3,2,5,2025-08-23,positive,4.39,Foreign exchange rates are better than competitors.,
BPI0823N001,N001,BPI Vito Cruz Taft Ave Branch,encashment,3,5,8,2025-08-23,positive,4.75,Teller was courteous and processed my request quickly.,
BPI0823N002,N002,BPI St. Ignatius Katipunan Branch,account service,7,8,15,2025-08-23,positive,3.45,Open on weekends which is very convenient for working people.,
BPI0823N001,N001,BPI Marikina Gil Fernando Branch,withdrawal,1,2,3,2025-08-23,positive,4.78,Best bank in the area. Never had any issues with their service.,
BPI0823N002,N002,BPI East Avenue Branch,transfer,3,2,5,2025-08-23,positive,4.33,"Fast transaction, friendly staff. Will come back again.",
BPI0823N001,N001,BPI Quiapo Branch,customer service,5,7,12,2025-08-23,neutral,2.08,Normal processing time. Staff did their job adequately.,
BPI0823N002,N002,BPI Ayala Malls Vertis North Branch,customer service,5,6,11,2025-08-23,positive,3.6,Excellent service! Staff was very helpful and quick processing.,
BPI0823N002,N002,BPI Glorietta Mall Ground Level Branch,deposit,1,1,2,2025-08-23,positive,3.23,Financial planning session was informative and helpful.,
BPI0823B001,B001,BPI Alfaro Branch,transfer,2,1,3,2025-08-23,neutral,2.37,Meh. It's fine for basic stuff,
BPI0823N001,N001,BPI Zobel Roxas Branch,deposit,5,4,9,2025-08-23,positive,3.31,Trust and estate planning services are comprehensive.,
BPI0823N003,N003,BPI Fairview Terraces Branch,customer service,4,5,9,2025-08-23,positive,4.67,Staff was patient in explaining loan details. Great service!,
BPI0823N002,N002,BPI Meralco Branch,deposit,1,2,3,2025-08-23,positive,4.68,Insurance products are reasonably priced and comprehensive.,
BPI0823N002,N002,BPI Xavierville Branch,deposit,3,3,6,2025-08-23,neutral,2.8,Pretty standard bank branch,
BPI0823N001,N001,BPI Bel-Air Paseo Branch,withdrawal,5,5,10,2025-08-23,positive,4.28,Staff explained everything clearly. Great customer service!,
BPI0823N001,N001,BPI Retiro Kanlaon Branch,deposit,2,2,4,2025-08-23,positive,5.0,Tax preparation service saved me time and money.,
BPI0823B001,B001,BPI Dela Rosa Solaris One Branch,deposit,2,1,3,2025-08-23,positive,4.71,Branch manager personally handled my complaint. Excellent!,
BPI0823N001,N001,BPI Las Pinas Branch,withdrawal,1,1,2,2025-08-23,positive,5.0,Teller was courteous and processed my request quickly.,
BPI0823N001,N001,BPI Sucat Road BF Homes Branch,withdrawal,2,1,3,2025-08-23,positive,4.5,"Fast transaction, friendly staff. Will come back again.",
BPI0823N003,N003,BPI East Avenue Branch,withdrawal,2,2,4,2025-08-23,neutral,2.57,Service was okay. Nothing special.,
BPI0823N001,N001,BPI St. Luke Branch,deposit,1,1,2,2025-08-23,positive,4.6,Student account benefits are amazing. No fees at all!,
BPI0823N001,N001,BPI J.P. Rizal San Miguel Branch,account service,5,7,12,2025-08-23,neutral,2.39,Standard operating procedures. Everything went normally.,
BPI0823N002,N002,BPI J.P. Rizal Binakod Branch,deposit,5,4,9,2025-08-23,positive,3.81,Professional and courteous staff,
BPI0823N001,N001,BPI Amaia Skies Avenida Branch,transfer,2,1,3,2025-08-23,positive,3.8,Best bank in the area. Never had any issues with their service.,
BPI0823N001,N001,BPI Intramuros Branch,withdrawal,7,7,14,2025-08-23,positive,3.06,Quick business account setup. Got everything done in one visit.,
BPI0823N003,N003,BPI Buendia Malugay Branch,withdrawal,6,5,11,2025-08-23,neutral,2.57,Wait times vary greatly depending on day and time.,
BPI0823N001,N001,BPI Pasig Capitolyo Branch,withdrawal,1,1,2,2025-08-23,neutral,2.72,Services are comparable to other banks in the area.,
BPI0823N001,N001,BPI Mabini Echelon Tower Branch,encashment,12,11,23,2025-08-23,positive,3.34,Branch renovation looks modern and welcoming now.,
BPI0823B001,B001,BPI Cubao Manhattan Parkview Branch,withdrawal,1,1,2,2025-08-23,positive,4.06,Amazing digital banking features! Mobile app works flawlessly.,
BPI0823B001,B001,BPI Shangri-La Plaza Branch,deposit,3,3,6,2025-08-23,positive,4.65,Very fast processing. Impressed with the service quality.,
BPI0823N001,N001,BPI Taft Quirino Avenue Branch,withdrawal,3,4,7,2025-08-23,positive,3.09,Debt consolidation loan helped me get back on track.,
BPI0823B001,B001,BPI Ali Mall Cubao Branch,customer service,2,5,7,2025-08-23,neutral,2.62,Security measures seem adequate for today's standards.,
BPI0823N001,N001,BPI Dela Rosa Solaris One Branch,account service,5,5,10,2025-08-23,positive,3.8,Business banking solutions perfectly fit our company needs.,
BPI0823N001,N001,BPI Pritil Branch,deposit,3,3,6,2025-08-23,positive,4.83,Free ATM usage worldwide saved me hundreds in fees.,
BPI0823N001,N001,BPI Kalentong Branch,account service,6,8,14,2025-08-23,neutral,2.5,Branch hours are typical for banks in this region.,
BPI0823N001,N001,BPI Quezon Avenue Delta Branch,deposit,2,3,5,2025-08-23,positive,4.35,Outstanding customer service. Staff went above and beyond.,
BPI0823N001,N001,BPI Philippine Heart Center Branch,encashment,2,3,5,2025-08-23,positive,5.0,Best bank staff ever! Always smiling,
BPI0823N001,N001,BPI UP Town Center Branch,withdrawal,1,1,2,2025-08-23,positive,3.42,Customer loyalty program rewards are actually worthwhile.,
BPI0823B001,B001,BPI Taytay Highway Branch,withdrawal,1,1,2,2025-08-23,positive,3.96,No wait time today. Perfect!,
BPI0823N001,N001,BPI Rise Branch,deposit,3,2,5,2025-08-23,neutral,2.38,ATM network coverage is decent in most areas.,
BPI0823N001,N001,BPI Pasong Tamo La Fuerza Branch,deposit,7,5,12,2025-08-23,positive,3.85,Loan approval was surprisingly fast. Great rates too!,
BPI0823N001,N001,BPI Pasong Tamo Branch,withdrawal,1,2,3,2025-08-23,positive,4.55,Mortgage team was incredibly helpful throughout the process.,
BPI0823N001,N001,BPI Caloocan Branch,deposit,5,6,11,2025-08-23,neutral,2.6,"Decent facilities, average customer service. It's okay.",
BPI0823N001,N001,BPI Timog Circle Branch,transfer,1,1,2,2025-08-23,positive,4.83,Home loan pre-approval process was smooth and transparent.,
BPI0823N001,N001,BPI - One Ayala,deposit,3,2,5,2025-08-23,neutral,2.23,Customer service resolves issues but takes standard time.,
BPI0823N001,N001,BPI Mandaluyong Branch,withdrawal,4,5,9,2025-08-23,positive,3.74,Wealth management team exceeded my expectations completely.,
BPI0823N001,N001,BPI Pasig Amang Rodriguez Branch,deposit,2,2,4,2025-08-23,positive,4.37,Excellent service! Staff was very helpful and quick processing.,
BPI0823N001,N001,BPI Marikina W. Paz Branch ATM,account service,7,10,17,2025-08-23,positive,3.82,Tax preparation service saved me time and money.,
BPI0823N001,N001,BPI Cubao F Castillo Branch,withdrawal,1,2,3,2025-08-23,neutral,2.6,"Average wait time, decent staff. Typical bank visit.",
BPI0823B001,B001,BPI Macapagal Meridian Park Branch,encashment,7,7,14,2025-08-23,positive,4.01,Great branch! Modern facilities and efficient service.,
BPI0823B001,B001,BPI Fairview East Branch,customer service,1,5,6,2025-08-23,positive,4.66,Corporate banking team understands our business needs perfectly.,
BPI0823N001,N001,BPI Fort Serendra Branch,withdrawal,3,4,7,2025-08-23,neutral,2.78,Fees are transparent but wish they were lower overall.,
BPI0823N001,N001,BPI Ortigas Emerald Branch,withdrawal,4,4,8,2025-08-23,positive,4.68,Senior citizen benefits are generous and well-designed.,
BPI0823N001,N001,BPI EDSA Cloverleaf Branch,customer service,4,5,9,2025-08-23,positive,3.68,Staff explained everything clearly. Great customer service!,
BPI0823N001,N001,BPI Juan Luna Recto Branch,encashment,2,2,4,2025-08-23,positive,4.1,Foreign exchange rates are better than competitors.,
BPI0823N001,N001,BPI Dian Branch,customer service,8,10,18,2025-08-23,positive,3.16,"Efficient tellers, minimal wait time. Very pleased.",
BPI0823B001,B001,BPI Padre Faura Taft Branch,customer service,8,9,17,2025-08-23,positive,3.78,Quick response to account security concerns. Very professional.,
BPI0823N004,N004,BPI Fairview Terraces Branch,withdrawal,5,5,10,2025-08-23,positive,3.28,ATM worked perfectly fine,
BPI0823B001,B001,BPI Scout Limbaga-Tobias Branch,deposit,8,7,15,2025-08-23,positive,3.4,Credit score monitoring service is a great value-add.,
BPI0823N001,N001,BPI Magallanes South Branch,withdrawal,1,1,2,2025-08-23,neutral,2.37,Meh. It's fine for basic stuff,
BPI0823B001,B001,BPI Blumentritt Chinese Gen Branch,deposit,5,7,12,2025-08-23,positive,4.32,Mortgage team was incredibly helpful throughout the process.,
BPI0823N001,N001,BPI QC-Sto Domingo Branch,withdrawal,1,1,2,2025-08-23,neutral,2.84,"Loan process was by-the-book, no surprises either way.",
BPI0823N001,N001,BPI Alabang Hills Branch,deposit,2,1,3,2025-08-23,positive,4.8,Best bank staff ever! Always smiling,
BPI0823N001,N001,BPI Malabon Rizal Branch,loan,10,17,27,2025-08-23,neutral,2.34,Fees are disclosed upfront but add up over time.,
BPI0823N003,N003,BPI Del Monte Branch,customer service,6,10,16,2025-08-23,positive,3.76,Staff was patient in explaining loan details. Great service!,
BPI0823N001,N001,BPI Ayala Paseo Branch,withdrawal,1,1,2,2025-08-23,positive,5.0,Loan approval was surprisingly fast. Great rates too!,
BPI0823B001,B001,BPI San Lazaro Vertex One Branch,withdrawal,1,1,2,2025-08-23,positive,4.61,Security measures are top-notch. Feel safe banking here.,
BPI0823N001,N001,BPI Araneta E. Rodriguez Branch,withdrawal,1,1,2,2025-08-23,neutral,2.56,"Okay service, could be better. Room for improvement.",
BPI0823N002,N002,BPI Rise Branch,customer service,6,7,13,2025-08-23,neutral,2.33,Normal processing time. Staff did their job adequately.,
BPI0823N002,N002,BPI Ortigas Emerald Branch,withdrawal,4,3,7,2025-08-23,positive,3.39,Online banking platform is user-friendly and secure.,
BPI0823N003,N003,BPI J.P. Rizal Binakod Branch,withdrawal,3,3,6,2025-08-23,positive,4.7,Quick and professional service. Highly recommended branch.,
BPI0823N001,N001,BPI Muntinlupa Tunasan,withdrawal,2,2,4,2025-08-23,positive,4.99,Personalized financial advice helped me plan better.,
BPI0823N002,N002,BPI Mabini Echelon Tower Branch,transfer,2,2,4,2025-08-23,positive,3.81,Staff remembered my name and preferences. Personal touch appreciated.,
BPI0823N003,N003,BPI Buendia Center Branch,withdrawal,4,4,8,2025-08-23,positive,3.45,Insurance products are reasonably priced and comprehensive.,
BPI0823N002,N002,BPI Philippine Heart Center Branch,withdrawal,4,4,8,2025-08-23,positive,3.07,Professional and courteous staff,
BPI0823N001,N001,BPI Kalayaan Branch,transfer,2,2,4,2025-08-23,positive,4.54,Staff was patient in explaining loan details. Great service!,
BPI0823N001,N001,BPI Paseo De Roxas Branch,transfer,2,2,4,2025-08-23,positive,5.0,Premium banking services justify the additional fees.,
BPI0823B001,B001,BPI J.P. Rizal Binakod Branch,withdrawal,3,3,6,2025-08-23,positive,4.73,Credit score monitoring service is a great value-add.,
BPI0823N002,N002,BPI Alabang South Branch,withdrawal,1,1,2,2025-08-23,positive,5.0,Quick service despite busy day. Thank you for good service.,
BPI0823N001,N001,BPI Quezon Avenue - South Triangle Branch,withdrawal,1,1,2,2025-08-23,neutral,2.54,Wait times vary greatly depending on day and time.,
BPI0823N002,N002,BPI Ali Mall Cubao Branch,withdrawal,4,2,6,2025-08-23,positive,4.09,Very efficient branch. No long waiting time today.,
BPI0823N001,N001,BPI Pioneer Center Branch,transfer,5,3,8,2025-08-23,positive,4.26,Personalized financial advice helped me plan better.,
BPI0823N001,N001,BPI The Enterprise Center Branch,withdrawal,5,5,10,2025-08-23,positive,3.77,Corporate banking team understands our business needs perfectly.,
BPI0823N001,N001,BPI Pasong Tamo Ext. EDSA Branch,account service,7,7,14,2025-08-23,neutral,2.02,Regular transaction completed. Nothing special to note.,
BPI0823N001,N001,BPI Medical Plaza Branch,customer service,7,9,16,2025-08-23,neutral,2.7,Product offerings are standard for mid-sized regional bank.,
BPI0823B001,B001,BPI Aurora Hemady Branch,withdrawal,3,3,6,2025-08-23,neutral,2.33,Account statements are clear and easy to understand.,
BPI0823B001,B001,BPI Novaliches SM Hypermarket Branch,withdrawal,1,1,2,2025-08-23,positive,4.14,"Efficient tellers, minimal wait time. Very pleased.",
BPI0823B002,B002,BPI Padre Faura Taft Branch,deposit,1,1,2,2025-08-23,positive,3.47,Staff remembered my name and preferences. Personal touch appreciated.,
